5_t,5_f,6_t,6_f,7_t,7_f,8_t,8_f,9_t,9_f,10_t,10_f,11_t,11_f,12_t,12_f,13_t,13_f,14_t,14_f,15_t,15_f
0.0,exponpow,0.0,cauchy,0.0,cauchy,0.0,lognorm,0.0,exponpow,0.0,cauchy,0.0,cauchy,0.0,cauchy,0.0,cauchy,0.0,cauchy,0.0,cauchy
0.0851063829787234,norm,0.0851063829787234,norm,0.0851063829787234,exponpow,0.0851063829787234,exponpow,0.0851063829787234,exponpow,0.0851063829787234,powerlaw,0.0851063829787234,cauchy,0.0851063829787234,norm,0.0851063829787234,cauchy,0.0851063829787234,cauchy,0.0851063829787234,cauchy
0.1702127659574468,norm,0.1702127659574468,gamma,0.1702127659574468,exponpow,0.1702127659574468,lognorm,0.1702127659574468,chi2,0.1702127659574468,gamma,0.1702127659574468,exponpow,0.1702127659574468,cauchy,0.1702127659574468,exponpow,0.1702127659574468,cauchy,0.1702127659574468,cauchy
0.2553191489361702,powerlaw,0.2553191489361702,cauchy,0.2553191489361702,exponpow,0.2553191489361702,norm,0.2553191489361702,cauchy,0.2553191489361702,exponpow,0.2553191489361702,cauchy,0.2553191489361702,cauchy,0.2553191489361702,powerlaw,0.2553191489361702,cauchy,0.2553191489361702,cauchy
0.3404255319148936,powerlaw,0.3404255319148936,norm,0.3404255319148936,exponpow,0.3404255319148936,exponpow,0.3404255319148936,exponpow,0.3404255319148936,exponpow,0.3404255319148936,exponpow,0.3404255319148936,exponpow,0.3404255319148936,cauchy,0.3404255319148936,exponpow,0.3404255319148936,cauchy
0.4255319148936171,cauchy,0.4255319148936171,cauchy,0.4255319148936171,lognorm,0.4255319148936171,exponpow,0.4255319148936171,lognorm,0.4255319148936171,exponpow,0.4255319148936171,exponpow,0.4255319148936171,exponpow,0.4255319148936171,cauchy,0.4255319148936171,exponpow,0.4255319148936171,cauchy
0.5106382978723404,norm,0.5106382978723404,norm,0.5106382978723404,exponpow,0.5106382978723404,lognorm,0.5106382978723404,chi2,0.5106382978723404,exponpow,0.5106382978723404,exponpow,0.5106382978723404,cauchy,0.5106382978723404,cauchy,0.5106382978723404,exponpow,0.5106382978723404,exponpow
0.5957446808510638,exponpow,0.5957446808510638,exponpow,0.5957446808510638,exponpow,0.5957446808510638,chi2,0.5957446808510638,powerlaw,0.5957446808510638,exponpow,0.5957446808510638,exponpow,0.5957446808510638,cauchy,0.5957446808510638,exponpow,0.5957446808510638,cauchy,0.5957446808510638,cauchy
0.6808510638297872,exponpow,0.6808510638297872,cauchy,0.6808510638297872,exponpow,0.6808510638297872,exponpow,0.6808510638297872,cauchy,0.6808510638297872,cauchy,0.6808510638297872,exponpow,0.6808510638297872,lognorm,0.6808510638297872,exponpow,0.6808510638297872,exponpow,0.6808510638297872,cauchy
0.7659574468085106,rayleigh,0.7659574468085106,exponpow,0.7659574468085106,exponpow,0.7659574468085106,exponpow,0.7659574468085106,cauchy,0.7659574468085106,powerlaw,0.7659574468085106,cauchy,0.7659574468085106,norm,0.7659574468085106,norm,0.7659574468085106,exponpow,0.7659574468085106,exponpow
0.8510638297872342,lognorm,0.8510638297872342,norm,0.8510638297872342,exponpow,0.8510638297872342,exponpow,0.8510638297872342,norm,0.8510638297872342,exponpow,0.8510638297872342,exponpow,0.8510638297872342,lognorm,0.8510638297872342,cauchy,0.8510638297872342,exponpow,0.8510638297872342,norm
0.9361702127659575,exponpow,0.9361702127659575,exponpow,0.9361702127659575,exponpow,0.9361702127659575,exponpow,0.9361702127659575,exponpow,0.9361702127659575,cauchy,0.9361702127659575,cauchy,0.9361702127659575,gamma,0.9361702127659575,exponpow,0.9361702127659575,lognorm,0.9361702127659575,cauchy
1.0212765957446808,cauchy,1.0212765957446808,exponpow,1.0212765957446808,exponpow,1.0212765957446808,cauchy,1.0212765957446808,norm,1.0212765957446808,exponpow,1.0212765957446808,exponpow,1.0212765957446808,cauchy,1.0212765957446808,exponpow,1.0212765957446808,lognorm,1.0212765957446808,cauchy
1.106382978723404,cauchy,1.106382978723404,powerlaw,1.106382978723404,exponpow,1.106382978723404,lognorm,1.106382978723404,lognorm,1.106382978723404,gamma,1.106382978723404,exponpow,1.106382978723404,norm,1.106382978723404,exponpow,1.106382978723404,cauchy,1.106382978723404,cauchy
